CopilotInsight,Copilot Insights validation_status,Copilot Insights comment,Copilot Insights_human_review,Copilot Insights_human_comment
CX who operates an IT management business and relies on Teams and SharePoint explored Copilot’s capabilities I recommended features like enhancing team collaboration with advanced scheduling and meeting summaries in Teams and improving document management and collaboration in SharePoint by providing insights and automating routine tasks CX welcomed the seven-day free trial and decided to try it I also mentioned that I would send additional information about Copilot’s features via email ,0,"The entry primarily describes the features of Copilot and the customer's current tools (Teams and SharePoint) without providing specific insights into how Copilot impacts their workflows or satisfaction. It lacks actionable details and customer-centric feedback. The business needs and goals are mentioned, but the connection to Copilot's specific use case and its impact on the customer's workflows is not clearly articulated.",Agree,"Good application of the rubric, but the rubric should be expanded to capture recommendations"
I explained to the customer who owns an internet business that Copilot’s features include rewriting documents in Word adjusting the tone of emails in Outlook and creating presentations in PowerPoint These capabilities can significantly enhance his productivity The customer showed interest in Copilot and may consider a future purchase after a thorough evaluation,0,"The entry is invalid because it primarily describes the features of Copilot rather than providing specific insights into user experiences or actionable feedback. It lacks specificity about how Copilot impacts the customer's workflows or satisfaction. Additionally, it does not offer clear guidance for improvements or changes based on customer feedback.",Agree,"Rubric should be expanded to accept recommendation cases, not only copilot feedback"
Customer uses the subscription for Security Phoenix Ltd a cybersecurity firm They use MS Word Excel and Outlook I highlighted MS Copilot’s strengths in drafting and summarizing emails and documents CX is interested and I’ll email details,0,"The entry is invalid because it primarily describes the customer's current use of Microsoft products and the features of Copilot that were highlighted to them. It lacks specific insights into how Copilot impacts their workflows, user experiences, or business goals. Additionally, it does not provide actionable feedback or detailed information on the customer's experience with Copilot.",Agree,
The customer mentioned their experience with Copilot in Windows noting its effectiveness for searching and solving issues However they are still in the process of learning and evaluating Copilot 365 and plan to discuss its adoption further with the management for future consideration,0,"The entry is invalid because it lacks specificity and actionability. While it mentions the customer's experience with Copilot in Windows and their ongoing evaluation of Copilot 365, it does not provide specific details on how Copilot impacts their workflows or satisfaction. Additionally, the business needs and goals section is not directly connected to the use of Copilot, making it less relevant to the product team.",Agree,
"The customer a consulting firm uses Outlook for managing communications and scheduling Word for creating and editing documents Teams for collaboration and virtual meetings Excel for data analysis and reporting and PowerPoint for developing client presentations Copilot can significantly enhance these applications by providing AI-driven assistance and insights In Outlook Copilot can help prioritize emails suggest replies and manage schedules more efficiently In Word it can assist in drafting documents offering grammar and style suggestions and even generating content based on prompts In Teams Copilot can facilitate collaboration by summarizing meetings suggesting action items and providing real-time translation In Excel it can analyze data generate insights and automate repetitive tasks In PowerPoint Copilot can create visually appealing presentations with design suggestions and content generation The customer has shared positive feedback about the potential benefits of Copilot noting how it could streamline their workflow and improve productivity They are particularly interested in detailed documentation and guides to ensure a smooth implementation process
",0,"The entry is too lengthy and lacks specificity in certain areas. While it mentions various applications and potential benefits of Copilot, it does not provide specific insights or detailed feedback from the customer. The entry needs to be more concise and focused on specific use cases and impacts on workflows. Additionally, it should include actionable insights based on customer feedback.",Agree,This seems like AI content but the prompt flagged it. Nice
I explained to the customer that Copilot can assist in writing and debugging code provide code suggestions and help integrate APIs like calendar functionalities making the development process more efficient,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific insights based on customer feedback. It lacks specificity, actionability, and customer-centric details. The entry should focus on how these features impact the customer's workflows, satisfaction, or business goals.",Agree,"Prompt works well but should also encompass recommendation scenarios, not only feedback scenarios"
I recommended using Copilot features such as meeting recaps and summaries in Teams as the customer is already using Teams The customer is aware of Copilot and has shown interest in the recap feature Additional information has been sent for further assistance  ,0,"The entry is invalid because it primarily describes a recommendation and the customer's awareness of Copilot features without providing specific feedback or insights from the customer. It lacks detailed information on how the features impact the customer's workflows or satisfaction, and it does not offer actionable guidance for improvements. Additionally, it does not provide a specific use case or detailed context on the business impact.",Agree,Prompt should be wider in range and also accept recommendations
Customer has a new business they are utilizing Outlook for emails MS Word for documentation MS Excel for data management and PowerPoint for creating presentation Customer is not aware of copilot Introduced copilot to the customer and its benefits Integrating Copilot with Microsoft 365 apps like Outlook Word Excel and PowerPoint significantly enhances productivity by automating routine tasks improving collaboration ensuring consistency and providing powerful insights It aids in drafting and editing documents analyzing data creating engaging presentations and managing emails and meetings more efficiently all while maintaining enterprise-grade security and compliance  Recommended 7 days free trial Recommended copilot free with Windows 10 and 11 updated device and MS Edge browser Customer will use the free version but not interested spend in to copilot pro for his business now,0,"The entry is invalid because it primarily describes the features of Copilot and the introduction of Copilot to the customer rather than providing specific, actionable insights based on customer feedback. It lacks detailed information on how Copilot impacts the customer's workflows or satisfaction, and it does not offer clear guidance for improvements or changes. Additionally, the entry does not provide a specific use case or detailed context on the business goals or needs of the customer.",Agree,
The customer found these features useful but mentioned that they first need to complete their business setup and ensure compatibility with the software they use for their work Once that is confirmed they will explore more about Copilot,0,The entry lacks specificity regarding the features of Copilot that the customer found useful. It also does not provide actionable insights or detailed feedback on Copilot's impact on their workflows. The focus is more on their transition to Exchange Online and integration with Recruiterflow.com rather than specific use cases or experiences with Copilot.,Agree,
[“The customer works at a telecommunications company that offers various services in this sector They utilize Microsoft Outlook for their email communications While I have mentioned that Copilot can assist in drafting emails within Outlook it has been conveyed that the company will not be integrating Copilot at this time due to an ongoing business transition Although the customer is aware of Copilot they have not previously implemented it],0,"The entry is invalid because it does not provide specific insights related to Copilot's impact on workflows or user satisfaction. It mainly discusses the customer's current situation and the recommendation of Microsoft OneNote, which is not related to Copilot. Additionally, it lacks actionable details and customer-centric feedback about Copilot.",Agree,
Customer said they are Mac users and not aware of Copilot but was so wowed to hear about the features Customer asked further about the pricing which I informed her that it is a yearly commitment and $30 per month/user Customer is ready to deploy Copilot after hearing about the benefits in Outlook and Teams such as help in drafting of emails suggested replies long thread email summaries tone of response meeting recap in Teams should you join a meeting late or caught up during a meeting conversation transcription,0,"The entry is invalid because it primarily focuses on the customer's reaction to hearing about Copilot features and pricing rather than providing specific, actionable insights based on user experiences or feedback. Additionally, the business needs and goals mentioned (storing production files) are not directly connected to the specific use cases of Copilot mentioned (Outlook and Teams features). The entry lacks detailed information on how Copilot impacts the customer's workflows or satisfaction.",Agree,
The customer who runs a visa and migration firm was already familiar with Copilot During our discussion we talked about their current usage of Copilot such as drafting emails in Outlook I proposed the paid version of Copilot to enhance their capabilities The customer mentioned that they are currently using the free version of Copilot but expressed interest in receiving documentation for future decision-making The customer approved this approach,0,"The entry lacks specific insights on how Copilot impacts the customer's workflows or satisfaction. It mainly describes the customer's current usage and interest in documentation for future decision-making. The business needs and goals are mentioned, but there is no clear connection to how Copilot addresses these needs or any actionable feedback provided by the customer.",Agree,
Customer owns a financial services firm; they are specializing in wealth management and financial advisory services They are utilizing Outlook for email collaboration MS Teams for meetings SharePoint for collaborating on a document to work with external clients and OneDrive for secure storage Customer is not aware of copilot Introduced copilot to the customer Introduced copilot integration with Integrating Copilot with Outlook SharePoint OneDrive for Business and Microsoft Teams revolutionizes productivity by acting as an intelligent assistant that streamlines communication collaboration and information management Copilot can help prioritize and manage emails in Outlook offer smart suggestions and automate tasks within SharePoint ensure easy and secure file access in OneDrive and facilitate seamless collaboration in Teams This integration enhances efficiency reduces repetitive tasks and enables users to focus on strategic activities ultimately driving better organizational productivity and teamwork Recommended 7days free trial and free usage with MS Edge browser and Windows pc Customer is likely to use the copilot for their business,0,"The entry is invalid because it primarily describes the features of Copilot and the tools the customer is currently using without providing specific insights into how Copilot impacts their workflows or satisfaction. It lacks actionable feedback from the customer and does not provide detailed, customer-centric insights connected to specific use cases or business goals. The entry should focus more on the customer's feedback, specific use cases, and the impact on their workflows.",Agree,The insight fails to outline specific features of Copilot and how it can be matched to assist the customer's business
The customer operating in the hotel industry needs tools to enhance communication streamline guest management and improve document handling I explained how Copilot in Outlook can assist with managing guest emails scheduling appointments and drafting communication more efficiently In Teams Copilot can help organize staff meetings coordinate tasks and improve collaboration on hotel operations Copilot in OneDrive can assist with securely storing and sharing hotel-related documents such as guest records contracts and promotional materials Additionally Copilot in SharePoint can help organize and collaborate on hotel project files manage access permissions and ensure smooth coordination across teams The customer expressed interest in using Copilot to improve productivity across Outlook Teams OneDrive and SharePoint,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific insights into user experiences, business impact, or unique use cases. It lacks specificity and actionable details based on customer feedback. The entry should focus more on how these features impact the customer's workflows and satisfaction, and provide clear guidance for improvements or changes.",Agree,"This is not an insight, this is a recommendation"
Since the customer relies on Microsoft Teams for meetings and Excel for documents and spreadsheets I suggested Microsoft 365's Copilot AI as their ultimate productivity partner We explored Copilot's features in Teams including meeting recaps and transcripts to keep everyone in the loop and easily reference key discussions For their Excel needs I highlighted how Copilot is a game-changer offering data insights trend analysis and data visualizations It automates tasks simplifies formulas and generates comprehensive reports saving heaps of time The customer thinks this is great However they’re not ready to implement them just yet,0,"The entry is invalid because it primarily describes features of Copilot rather than providing specific, actionable insights based on customer feedback. It lacks detailed information on how Copilot impacts the customer's workflows or satisfaction. Additionally, the customer is not ready to implement the features yet, which does not provide actionable guidance for improvements.",Agree,The entry is a recommendation of Copilot to the customer rather than the customer's feedback on the product/features
"The customer is already acquainted with Copilot and is currently pleased with its functionality I have effectively communicated to the customer that Copilot can be effortlessly integrated with Office 365 applications such as Teams Outlook and PowerPoint This integration is expected to substantially enhance his productivity allowing him to handle tasks more efficiently and improve overall communication within his organization
Despite the customer's interest in exploring this integration he decided to reconsider due to dissatisfaction with the pricing of the Copilot plan Although he acknowledged the potential benefits the customer found the cost to be a prohibitive factor in moving forward with the integration",0,"The entry lacks specificity regarding the specific features or aspects of Copilot that the customer is pleased with. It also does not provide detailed actionable insights or specific use cases of the product. The feedback is more about the pricing issue rather than user experience or workflow impact. Additionally, the business needs and goals section is too generic and not directly connected to Copilot's specific use case.",Agree,General statement. Lacks specificity on what feature the customer is pleased with. Entry is more of a recommendation than an insight
I recommended Copilot capabilities emphasizing its potential benefits in Word Excel and Outlook Copilot can enhance productivity by offering AI-powered assistance such as generating intelligent suggestions automating repetitive tasks and providing real-time insights Specifically in Word Copilot can assist with drafting documents and generating content ideas; in Excel it can help analyze data and create detailed reports; and in Outlook it can streamline email management and optimize scheduling However Cx mentioned that this client is new and will need to confirm if these capabilities align with their needs as the business relationship evolves,0,"The entry primarily describes the features and potential benefits of Copilot in Word, Excel, and Outlook without providing specific user experiences or actionable insights. It lacks specificity on how Copilot impacts the customer's workflows or satisfaction. Additionally, the feedback from the customer is not detailed enough to be actionable and does not provide clear guidance for improvements or changes.",Agree,Features explained alone. Not actionable 
Disused in detail about the Copilot and how the features are integrated with all the applications giving the example on outlook Cx liked the discussion and have committed to propose the plan in the next meeting to supervisors about future implementations  ,0,"The entry lacks specificity and actionable insights. It mainly describes a discussion about Copilot features without detailing specific user experiences or impacts on workflows. Additionally, it does not provide clear guidance for improvements or changes. The business needs and goals are mentioned, but the connection to Copilot's specific use case and its impact on the customer's workflows is not clearly articulated.",Agree,Not specific to the customer's impact. Unactionable
The customer indicated that they are not interested in using Copilot at this time due to security concerns regarding AI This suggests a hesitation to adopt AI-driven tools likely stemming from worries about data privacy potential misuse of information or the overall security of AI technologies   This feedback highlights a significant barrier to the adoption of Copilot among users who prioritize security It may be beneficial for the product team to consider enhancing communication around the security measures in place for Copilot as well as providing clear information on how user data is protected Addressing these concerns proactively could help build trust and encourage users to explore the benefits of Copilot in the future,0,"The entry is invalid because it primarily focuses on the customer's security concerns and general hesitation to adopt AI-driven tools, rather than providing specific, actionable insights related to Copilot's features or user experiences. Additionally, the business needs and goals section is not directly related to Copilot insights and lacks specificity regarding the impact on workflows or satisfaction.",Agree,"primarily focuses on the customer's security concerns and general hesitation to adopt AI-driven tools, rather than providing specific, actionable insights related to Copilot's features or user experiences."
na,0,"The entry is invalid because it lacks specific details, context, and actionable insights. It does not provide any information about the customer's business needs, goals, or how Copilot impacts their workflows.",Agree,No data submitted
not required ,0,"The entry is invalid because it does not provide any specific insight, context, or details about Copilot. It lacks specificity, impact on workflows, actionability, and customer-centric feedback. Additionally, it does not mention any business needs, goals, or use cases.",Agree,No data submitted.
NA,0,The entry is too vague and lacks specificity. It does not provide detailed information on how Copilot impacts the user's workflows or satisfaction. It also does not offer actionable insights or specific use cases related to Copilot. More detailed and customer-centric information is needed.,Agree,No data submitted.
The customer uses all the Microsoft apps but only the basic features He doesn't need any advanced options at the moment The tools he uses every day are Outlook Excel Word and OneDrive He only uses the other ones from time to time when needed He had never heard of Copilot He said it sounds great but first the company has to grow and then he might consider giving it a try ,0,"The entry is invalid because it lacks specificity, impact on workflows, and actionability. It does not provide detailed insights into how Copilot could impact the customer's workflows or satisfaction. The feedback is not actionable as it does not offer clear guidance for improvements or changes. Additionally, it does not connect Copilot to specific business goals or use cases.",Agree,No product insight was captured.
Introduced copilot and cx was aware of it and denied more info  ,0,"The entry does not provide specific insights related to Copilot. It mainly discusses the customer's use of other Microsoft services and their issues with tenant migration. There is no mention of how Copilot impacts their workflows, user experiences, or business goals. Additionally, the entry lacks actionable feedback or suggestions related to Copilot.",Agree,"No details of the recommended feature were provided, no specific Copilot product details were mentioned"
NA,0,"The entry lacks specificity, actionability, and detailed information. It does not provide specific insights into how Copilot impacts the user's workflows or satisfaction, nor does it offer clear guidance for improvements or changes. Additionally, it does not mention any specific use case of Copilot or feedback from the customer about Copilot.",Agree,No data submitted.
Introduced Copilot benefits and was aware of personal copilot and told dont need as she thought like cgpt response Cx told that this much work is not there but might think in future if business grows Gave example of M365 copilot how it helps to draft emails in outlook analyze email trail How it helps to create ppt and word docs analyze/visualize data in excel with calculation Gave example of teams meet recording and live questions and answer Informed how she can follow meet,0,"The entry is invalid because it primarily describes the features of Copilot rather than providing specific, actionable insights based on customer feedback. It lacks specificity, impact on workflows, and customer-centric insights connected to business goals or specific use cases. The information is also not detailed enough to be actionable.",Agree,This is not a valid product insight this is more of a recommendation
na,0,"The entry is invalid because it lacks any specific information, context, or details about Copilot, user experiences, business impact, or unique use cases. It does not meet any of the criteria for valid insights.",Agree,No data submitted
Customer indicated that they are not ready to use copilot now as they consider it not fully developed our customer is open to considering it in the future,0,"The entry is invalid because it lacks specificity, actionability, and detailed information. It does not provide specific feedback on Copilot features, user workflows, or actionable insights. The entry also does not connect to a specific use case or business goal.",Agree,"No data submitted.
"
The cx is not aware of Copilot,0,"The entry does not provide specific insights about Copilot. It focuses on the customer's lack of awareness about Copilot and suggests using OneDrive and SharePoint, which are unrelated to Copilot. The entry lacks specificity, impact on workflows, actionability, and customer-centric feedback related to Copilot.",Agree,The provided insight lacked actionable and specific feedback regarding the usage of Copilot.
explained about copilot in outlook ,0,"The entry is invalid because it lacks specificity, impact on workflows, actionability, and customer-centric feedback. It only mentions that Copilot in Outlook was explained without providing any detailed insights or context on how it impacts the user's workflows or satisfaction.",Agree,The provided insight lacked actionable and specific feedback regarding the usage of Copilot.
na,0,"The entry is invalid as it lacks any specific information, context, or details about Copilot, its impact on workflows, or customer feedback. It does not meet any of the criteria for valid insights.",Agree,No data submitted
na,0,"The entry is invalid as it lacks any specific information, context, or details about Copilot. It does not provide any insights, feedback, or actionable information related to user experiences, business impact, or unique use cases of the product.",Agree,No data submitted
Recommended copilot Pro with PowerPoint to create PP presentations faster and improve efficiency,0,"The entry lacks specificity and detailed actionable insights. It mentions recommending Copilot Pro with PowerPoint to create presentations faster and improve efficiency, but it does not provide specific feedback or user experiences. The business needs and goals are mentioned, but the pain points listed are unrelated to Copilot's functionality. The entry needs to focus more on how Copilot impacts workflows, user satisfaction, and specific use cases.",Agree,"This is not an insight, but rather a recommendation from the ambassador to the customer."
Client is well versed in AI as he runs an AI consulting business he heard about copilot and may explore more his features ,0,The entry lacks specificity and actionable insights. It does not provide detailed information on how Copilot impacts the client's workflows or satisfaction. The insight is not connected to a specific use case of the product and does not offer clear guidance for improvements or changes.,Agree,The provided insight lacked actionable and specific feedback regarding the usage of Copilot.
Customer only uses META in WhatsApp he has not heard about Copilot before I recommended Copilot Drafts for Outlook to quickly send personalized emails to his clients by just putting some prompts,0,"The entry is invalid because it primarily describes a feature recommendation rather than providing specific, actionable insights based on customer feedback. It lacks details on how the customer plans to use Copilot, the impact on their workflows, and any specific use cases or feedback from the customer.",Agree,"This is not an insight, but rather a recommendation from the ambassador to the customer.
"
Provided live demo about usage of CoPilot,0,"The entry is invalid because it lacks specificity, impact on workflows, actionability, and customer-centric feedback. It only mentions a live demo without providing any detailed insights or feedback from the customer. Additionally, the business needs and goals mentioned are not connected to a specific use case of Copilot.",Agree,Lacks Specificity and Impact on workflows. Also the insight stated is the same as PLG recommendation
None,0,"The entry does not provide specific insights related to Copilot. It only mentions the need to set up Office 365 for employees to save time and money, which is too generic and not actionable. It lacks details on how Copilot specifically impacts workflows, user experiences, or business goals.",Agree,No actual data submitted
Educated cx on the use of copilot to setup Teams meeting to get transcipt,0,"The entry is invalid because it primarily describes an educational interaction rather than providing a specific, actionable insight based on customer feedback. It lacks details on how Copilot impacts the customer's workflow, satisfaction, or specific use cases. Additionally, it does not offer clear guidance for improvements or changes.",Agree,Lacks details on how these benefits or impacts the business
The customer initially contacted for issues with outlook and I have suggested copilot features like drafting emails with outlook ,0,"The entry is invalid because it primarily describes a feature (drafting emails with Outlook) rather than providing specific, actionable insights based on customer feedback. Additionally, it lacks details on how Copilot impacts the customer's workflows or satisfaction. The business needs and goals mentioned are not directly connected to Copilot's use case or its impact on the customer's business goals.",Agree,"Lack details of the outcome. Like ""to improve"" to ""enhance"""
Customer does not trust on MS AI(copilot) he uses google instead,0,"The entry does not provide specific insights related to Copilot's features or its impact on workflows. It lacks actionable details and is not customer-centric regarding Copilot. The business needs and goals mentioned are related to SharePoint, not Copilot.",Agree,Does not provide any actionable item that can be addressed by PG. Like why does the customer does not trust MS AI?
Customer was aware about Copilot not used so we recommended customer to try Copilot trails for 30 days to access Premium features via personal account,0,"The entry is invalid because it does not provide specific insights about Copilot's features or impact on workflows. It mainly describes a recommendation to try Copilot and a general business goal without detailing how Copilot would be used or its potential benefits. For a valid insight, it should include specific use cases, user experiences, or actionable feedback related to Copilot.",Agree,While it's good for the customer to try the customer trial but does not state the features and benefits provided for the customer to efficiently use the product and benefits the business 
Customer Insight was to Improve the API Between Godaddy and Microsoft Business so that when users wants to connect the domain the API actually works upon signing into godaddy but right now it keeps on erroring out ,0,"The entry does not provide specific insights related to Copilot. It focuses on an API issue between GoDaddy and Microsoft Business, which is not directly related to Copilot's features or user experiences. Additionally, it does not offer actionable guidance for Copilot improvements or changes.",Agree,Not related to Copilot
We have a conversation about copilot and customer shows really interest Copilot for outlook they are very interested to get the transcript of each meeting automatically with key points discussed during the meeting ,0,"The entry is invalid because it lacks specificity, actionability, and customer-centric insights. The conversation about Copilot for Outlook and interest in meeting transcripts is mentioned, but it is not detailed enough to be actionable. Additionally, the business needs and goals section is not relevant to Copilot insights and does not provide clear guidance for improvements or changes.",Agree,Lacks details on how it impacts user workflows or satisfaction
Adjust censorship in CoPilot and improve image generation capability  As per customer business companies and customers are usually adults and censorship should be adjusted that will help CoPilot generate  realistic images and business-related,0,"The entry lacks specificity, actionable details, and clear connection to a specific use case of Copilot. It also does not provide sufficient context on how it impacts user workflows or satisfaction. The business needs and goals mentioned are too vague.",Agree,Also there are ways to adjust the content moderation settings in copilot
